feature,ols_coef,ridge_coef,lasso_coef
fence_GdWo,350.9930651137711,44.71275061173227,-0.0
fence_MnPrv,402.80308176777055,-104.9721288632346,-0.0
fence_MnWw,-3113.6137549568207,-297.4634805331291,-201.8235314688844
fence_None,954.701698955602,210.833960042397,150.6572741902339
ms_zoning_RH,889.8162822650365,205.11920741105286,0.0
ms_zoning_RL,-1544.1293123256935,-250.22252435205377,0.0
ms_zoning_RM,-5603.940155005036,-1674.870675920495,-1266.6546111459293
garage_qual_Gd,17749.33998447256,1225.1692088602456,1040.1994051931613
garage_qual_None,-4087.940161000039,89.47079339620863,0.0
garage_qual_Po,-12755.122446466237,-354.5036395932544,-263.08842599794554
garage_qual_TA,1358.615976964178,40.86433421425046,-0.0
paved_drive_P,-2154.309102592699,-354.5190524685904,-324.810443596859
paved_drive_Y,3246.4308897310957,886.1560517636752,343.8591760773494
lot_config_CulDSac,3465.0347732641876,835.8057870611054,616.6220223198014
lot_config_FR2,-3103.6045230803184,-622.3428147362822,-439.4649038244712
lot_config_FR3,-9954.382948959941,-585.670461608299,-498.4177249690769
lot_config_Inside,490.62449508473674,188.21264950428207,0.0
house_style_1.5Unf,-23443.09940485976,-1071.448926869413,-0.0
house_style_1Story,12624.639693348032,532.5438321493237,0.0
house_style_2.5Fin,2603.7618144388957,1.4441034224053413,-75.15516723803962
house_style_2.5Unf,16696.066592506602,840.8072871723899,196.6924211363764
house_style_2Story,6997.01562264931,630.8152558003385,0.0
house_style_SFoyer,12707.143912487236,213.09374214767746,0.0
house_style_SLvl,11490.570752560794,-71.96706903138134,-155.50953957708592
overall_cond_2,18336.04457321438,-490.03939661033996,-250.66785338240672
overall_cond_3,11442.399272461142,-2457.7920158778916,-2417.5373184354107
overall_cond_4,24492.6712683899,-1473.792196978421,-988.465111724648
overall_cond_5,31474.585292512955,-812.8875864108362,-0.0
overall_cond_6,35313.42698118239,544.5837892503812,1114.7217473441917
overall_cond_7,42596.391021653195,2725.267784416429,3463.7176387916816
overall_cond_8,46301.51952575209,2177.11412574192,2596.883768868946
overall_cond_9,51159.319613321066,1828.7483078738978,2025.2987756742664
fireplace_qu_Fa,-1125.4158264877435,-692.7009430117546,-469.20268004281434
fireplace_qu_Gd,2851.9126682580977,483.80047656300155,338.37509717880596
fireplace_qu_None,2833.593507111929,-420.39714929173397,-0.0
fireplace_qu_Po,-768.6220453538175,-494.1160497541473,-334.5635083296298
fireplace_qu_TA,2627.73988856931,272.73925244544,0.0
